word,pos,source
luck,noun,パス単
luckily,adverb,パス単
ma'am,noun,パス単
mad,adjective,パス単
maid,noun,パス単
main,adjective,パス単
mainly,adverb,パス単
maintain,verb,パス単
major,verb,パス単
male,noun,パス単
mall,noun,パス単
manager,noun,パス単
march,verb,パス単
market,noun,パス単
marry,verb,パス単
match,noun,パス単
material,noun,パス単
matter,noun,パス単
mayor,noun,パス単
meal,noun,パス単
mean,verb,パス単
measure,verb,パス単
media,noun,パス単
medicine,noun,パス単
medium,adjective,パス単
melt,verb,パス単
memorize,verb,パス単
memory,noun,パス単
mention,verb,パス単
mess,noun,パス単
messenger,noun,パス単
method,noun,パス単
microwave,noun,パス単
middle,adjective,パス単
mild,adjective,パス単
million,numeral,パス単
mind,verb,パス単
miniature,adjective,パス単
miss,verb,パス単
missing,adjective,パス単
mistake,noun,パス単
mobile,adjective,パス単
modern,adjective,パス単
moment,noun,パス単
moreover,adverb,パス単
mosquito,noun,パス単
mostly,adverb,パス単
move,verb,パス単
movement,noun,パス単
narrow,adjective,パス単
nation,noun,パス単
national,adjective,パス単
nationality,noun,パス単
natural,adjective,パス単
naturally,adverb,パス単
nature,noun,パス単
navigation,noun,パス単
navy,noun,パス単
nearby,adjective,パス単
nearly,adverb,パス単
necessarily,adverb,パス単
necessary,adjective,パス単
necessity,noun,パス単
negative,adjective,パス単
neighbor,noun,パス単
neighborhood,noun,パス単
nervous,adjective,パス単
network,noun,パス単
nevertheless,adverb,パス単
noise,noun,パス単
noisy,adjective,パス単
none,pronoun,パス単
normal,adjective,パス単
normally,adverb,パス単
note,noun,パス単
notice,verb,パス単
novel,noun,パス単
nowadays,adverb,パス単
nuclear,adjective,パス単
obey,verb,パス単
obviously,adverb,パス単
occur,verb,パス単
offer,verb,パス単
officer,noun,パス単
official,adjective,パス単
once,adverb,パス単
operation,noun,パス単
opinion,noun,パス単
opportunity,noun,パス単
opposite,adjective,パス単
order,verb,パス単
ordinary,adjective,パス単
organization,noun,パス単
organize,verb,パス単
origin,noun,パス単
original,adjective,パス単
originally,adverb,パス単
other,adjective,パス単
otherwise,adverb,パス単
outdoor,adjective,パス単
outside,adverb,パス単
overcome,verb,パス単
overweight,adjective,パス単
own,adjective,パス単
owner,noun,パス単
pack,verb,パス単
package,noun,パス単
pain,noun,パス単
painful,adjective,パス単
paint,verb,パス単
park,verb,パス単
particular,adjective,パス単
partner,noun,パス単
passenger,noun,パス単
past,adjective,パス単
patient,adjective,パス単
pattern,noun,パス単
pause,noun,パス単
pay,verb,パス単
percent,noun,パス単
perfect,adjective,パス単
perform,verb,パス単
performance,noun,パス単
perhaps,adverb,パス単
period,noun,パス単
personal,adjective,パス単
personality,noun,パス単
photograph,noun,パス単
photographer,noun,パス単
physical,adjective,パス単
pick,verb,パス単
pigeon,noun,パス単
pillow,noun,パス単
plain,adjective,パス単
planet,noun,パス単
plant,verb,パス単
plastic,noun,パス単
plate,noun,パス単
pleasant,adjective,パス単
plenty,noun,パス単
poem,noun,パス単
police,noun,パス単
policy,noun,パス単
polite,adjective,パス単
pollution,noun,パス単
popularity,noun,パス単
population,noun,パス単
portable,adjective,パス単
position,noun,パス単
positive,adjective,パス単
possible,adjective,パス単
pound,noun,パス単
pour,verb,パス単
practice,verb,パス単
praise,verb,パス単
pray,verb,パス単
prefer,verb,パス単
prepare,verb,パス単
presentation,noun,パス単
president,noun,パス単
press,verb,パス単
pressure,noun,パス単
pretend,verb,パス単
pretty,adjective,パス単
prevent,verb,パス単
price,noun,パス単
pride,noun,パス単
principal,noun,パス単
privacy,noun,パス単
private,adjective,パス単
prize,noun,パス単
probably,adverb,パス単
process,noun,パス単
produce,verb,パス単
product,noun,パス単
production,noun,パス単
professional,adjective,パス単
professor,noun,パス単
progress,noun,パス単
project,noun,パス単
promise,verb,パス単
pronounce,verb,パス単
proof,noun,パス単
properly,adverb,パス単
property,noun,パス単
propose,verb,パス単
protect,verb,パス単
prove,verb,パス単
provide,verb,パス単
psychology,noun,パス単
public,adjective,パス単
publish,verb,パス単
pull,verb,パス単
punish,verb,パス単
puppet,noun,パス単
puppy,noun,パス単
pure,adjective,パス単
purpose,verb,パス単
push,verb,パス単
quality,noun,パス単
quickly,adverb,パス単
quiet,adjective,パス単
quit,verb,パス単
quite,adverb,パス単
race,noun,パス単
raise,verb,パス単
rapid,adjective,パス単
rapidly,adverb,パス単
rarely,adverb,パス単
rate,noun,パス単
rather,adverb,パス単
raw,adjective,パス単
reach,verb,パス単
reaction,noun,パス単
real,adjective,パス単
realize,verb,パス単
reason,noun,パス単
reasonable,adjective,パス単
receipt,noun,パス単
receive,verb,パス単
recent,adjective,パス単
recently,adverb,パス単
recipe,noun,パス単
recognize,verb,パス単
recommend,verb,パス単
recover,verb,パス単
recovery,noun,パス単
recycle,verb,パス単
reduce,verb,パス単
refer,verb,パス単
reflect,adjective,パス単
refresh,verb,パス単
regret,verb,パス単
regular,adjective,パス単
regularly,adverb,パス単
reject,verb,パス単
relation,noun,パス単
relative,noun,パス単
relax,verb,パス単
release,verb,パス単
rely,verb,パス単
remain,verb,パス単
remember,verb,パス単
remind,verb,パス単
remove,verb,パス単
rent,verb,パス単
repair,verb,パス単
repeat,verb,パス単
replace,verb,パス単
reply,verb,パス単
report,verb,パス単
request,verb,パス単
require,verb,パス単
rescue,verb,パス単
research,verb,パス単
reservation,noun,パス単
reserve,verb,パス単
resort,noun,パス単
resource,noun,パス単
respect,verb,パス単
respond,verb,パス単
responsible,adjective,パス単
rest,noun,パス単
restroom,noun,パス単
result,noun,パス単
retire,verb,パス単
return,verb,パス単
reunion,noun,パス単
review,verb,パス単
reward,noun,パス単
ring,verb,パス単
rise,verb,パス単
rock,noun,パス単
role,noun,パス単
root,noun,パス単
rough,adjective,パス単
round,adjective,パス単
route,noun,パス単
row,noun,パス単
rude,adjective,パス単
rug,noun,パス単
rule,noun,パス単
rumor,noun,パス単
run,verb,パス単
safe,adjective,パス単
safety,noun,パス単
sail,verb,パス単
sailor,noun,パス単
sale,noun,パス単
save,verb,パス単
scary,adjective,パス単
scene,noun,パス単
scenery,noun,パス単
science fiction,noun,パス単
score,noun,パス単
scream,verb,パス単
search,verb,パス単
secondhand,adjective,パス単
secret,noun,パス単
secretly,adverb,パス単
security,noun,パス単
seek,verb,パス単
seem,verb,パス単
seldom,adjective,パス単
select,verb,パス単
selection,noun,パス単
sense,noun,パス単
sentence,noun,パス単
separate,verb,パス単
separation,noun,パス単
serious,adjective,パス単
serve,verb,パス単
service,noun,パス単
set,verb,パス単
several,adjective,パス単
shadow,noun,パス単
shake,verb,パス単
shape,noun,パス単
share,verb,パス単
sharp,adjective,パス単
shelter,noun,パス単
shoot,verb,パス単
shortage,noun,パス単
shortly,adverb,パス単
shout,verb,パス単
shy,adjective,パス単
sight,noun,パス単
sign,noun,パス単
signal,noun,パス単
silence,noun,パス単
silly,adjective,パス単
similar,adjective,パス単
simple,adjective,パス単
sincerely,adverb,パス単
single,adjective,パス単
sink,verb,パス単
site,noun,パス単
skill,noun,パス単
skin,noun,パス単
skip,verb,パス単
slide,verb,パス単
slightly,adverb,パス単
smart,adjective,パス単
smell,verb,パス単
smoker,noun,パス単
soil,noun,パス単
soldier,noun,パス単
solve,verb,パス単
sometime,adverb,パス単
somewhere,adverb,パス単
sound,noun,パス単
space,noun,パス単
spare,adjective,パス単
special,adjective,パス単
specialize,verb,パス単
species,noun,パス単
specific,adjective,パス単
spell,verb,パス単
spend,verb,パス単
spicy,adjective,パス単
spider,noun,パス単
spill,verb,パス単
spirit,noun,パス単
spray,verb,パス単
spread,verb,パス単
square,adjective,パス単
staff,noun,パス単
stand,verb,パス単
standard,adjective,パス単
stare,verb,パス単
state,noun,パス単
statement,noun,パス単
statue,noun,パス単
steady,adjective,パス単
steal,verb,パス単
stereo,noun,パス単
stick,verb,パス単
stomach,noun,パス単
straight,adverb,パス単
strength,noun,パス単
stress,noun,パス単
stressful,adjective,パス単
stretch,verb,パス単
strict,adjective,パス単
strongly,adverb,パス単
stupid,adjective,パス単
succeed,verb,パス単
success,noun,パス単
successful,adjective,パス単
suffer,verb,パス単
suggest,verb,パス単
suggestion,noun,パス単
suitable,adjective,パス単
sunlight,noun,パス単
sunrise,noun,パス単
superior,adjective,パス単
supply,verb,パス単
support,verb,パス単
surf,verb,パス単
surface,noun,パス単
surprise,verb,パス単
surprisingly,adverb,パス単
surround,verb,パス単
survive,verb,パス単
swing,verb,パス単
symbol,noun,パス単
talent,noun,パス単
task,noun,パス単
taste,verb,パス単
tasty,adjective,パス単
teammate,noun,パス単
tease,verb,パス単
technical,adjective,パス単
technique,noun,パス単
technology,noun,パス単
temperature,noun,パス単
tend,verb,パス単
term,noun,パス単
terrible,adjective,パス単
terribly,adverb,パス単
theme,noun,パス単
therefore,adverb,パス単
thick,adjective,パス単
thin,adjective,パス単
though,adverb,パス単
thought,noun,パス単
through,preposition,パス単
throughout,preposition,パス単
throw,verb,パス単
tidy,adjective,パス単
tight,adjective,パス単
till,preposition,パス単
tiny,adjective,パス単
tool,noun,パス単
toothache,noun,パス単
topic,noun,パス単
totally,adverb,パス単
touch,verb,パス単
tough,adjective,パス単
tourist,noun,パス単
tournament,noun,パス単
toward,preposition,パス単
track,noun,パス単
trade,verb,パス単
tradition,noun,パス単
traditional,adjective,パス単
traffic,noun,パス単
train,verb,パス単
translate,verb,パス単
transport,noun,パス単
transportation,noun,パス単
trap,verb,パス単
travel,verb,パス単
treat,verb,パス単
trouble,noun,パス単
true  ,adjective,パス単
trust,verb,パス単
truth,noun,パス単
turn,verb,パス単
twice,adverb,パス単
twist,verb,パス単
typical,adjective,パス単
unfortunately,adverb,パス単
unfriendly,adjective,パス単
uniform,noun,パス単
unique,adjective,パス単
unite,verb,パス単
unkind,adjective,パス単
unknown,adjective,パス単
unless,conjunction,パス単
unlike,preposition,パス単
unlikely,adjective,パス単
unusual,adjective,パス単
upset,verb,パス単
useless,adjective,パス単
usual,adjective,パス単
valuable,adjective,パス単
value,noun,パス単
variety,noun,パス単
various,adjective,パス単
vary,verb,パス単
vase,noun,パス単
vegetable,noun,パス単
vehicle,noun,パス単
victim,noun,パス単
victory,noun,パス単
view,noun,パス単
violent,adjective,パス単
visible,adjective,パス単
visitor,noun,パス単
volunteer,verb,パス単
vote,noun,パス単
voyage,noun,パス単
wait,verb,パス単
wake,verb,パス単
wallet,noun,パス単
war,noun,パス単
warn,verb,パス単
waste,verb,パス単
wealth,noun,パス単
weigh,verb,パス単
weight,noun,パス単
wheat,noun,パス単
whenever,conjunction,パス単
wherever,conjunction,パス単
whether,conjunction,パス単
while,conjunction,パス単
whisper,verb,パス単
whole,adjective,パス単
widely,adverb,パス単
widen,verb,パス単
width,noun,パス単
wild,adjective,パス単
win,verb,パス単
wise,adjective,パス単
wish,verb,パス単
within,preposition,パス単
wonder,verb,パス単
worry,verb,パス単
worth,adjective,パス単
wrap,verb,パス単
yell,verb,パス単
yet,adverb,パス単
